[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
مشتاق|مِشتَاق	<ol style="listStyleType: circle;"><li style="">longing for, missing (ل = s.th.)                                         ;[pronunciation: mištāq،mištāqīn،mištāqa]</li></ol>
مشتبه|مِشْتِبِه	<ol style="listStyleType: circle;"><li style="">suspicious</li></ol>
مشترك|مِشترِك	<ol style="listStyleType: circle;"><li style="">participant                                                                               ;[pronunciation: mištrek / [CA] muštarek،mišterkīn / [CA] muštarikīn،mišterºke]</li> <li style="">subscriber                                                                               ;[pronunciation: mištrek / [CA] muštarek،mišterkīn / [CA] muštarikīn،mišterºke]</li></ol>
مشترك|مُشتَرَك	<ol style="listStyleType: circle;"><li style="">common, shared, joint                                             ;[pronunciation: muštarak،muštarake][keyword]</li></ol>
مشترى|مُشتَرَى	<ol style="listStyleType: circle;"><li style="">bought, store bought (rather than homemade)                         ;[pronunciation: muštara]</li> <li style="">purchased (item)                                    ;[pronunciation: muštara،muštarayāt]</li></ol>
مشتري|مِشتري	<ol style="listStyleType: circle;"><li style="">buyer, purchaser                                                              ;[pronunciation: mištry / [CA] muštary،mištºriyyīn،mištºriyye]</li> <li style="">المِشْتَرِي : Jupiter (the planet)</li></ol>
مشتل|مَشتَل	<ol style="listStyleType: circle;"><li style="">(plant) nursery, arboretum                                                                              ; (محل لزرع بزر الأشجار أو النباتات);[pronunciation: maštal / maštale،mašātel]</li></ol>
مشتول|مَشْتُول	<ol style="listStyleType: circle;"><li style="">stupid, dim-witted, doltish         ; (أبله);</li></ol>
مشتى[S]مشتى|مشتى[S]مَشْتَى	<ol style="listStyleType: circle;"><li style="">winter home, place to spend winter, winter resort                           ; (محلٌّ لقضاء فصل الشتاء);</li></ol>
مشجع|مُشَجِّع	<ol style="listStyleType: circle;"><li style="">encouraging                                    ;[pronunciation: mušajjeʕ،mušajjiʕa]</li></ol>
مشحاف|مِشحَاف	<ol style="listStyleType: circle;"><li style="">stripping knife (for removing paint, etc.)                        ;[pronunciation: mišḥāf]</li> <li style="">spatula (in some areas of Lebanon. See also كفكير)                       [pronunciation: mišḥāf]</li></ol>
مشحر|مْشَحِّر	<ol style="listStyleType: circle;"><li style="">sooty</li></ol>
مشحر|مشحّر	<ol style="listStyleType: circle;"><li style="">see example ;</li></ol>
مشحر|مَشْحَر	<ol style="listStyleType: circle;"><li style="">to blacken (ه = s.th.)                        ; (مشحر الشيءَ، سوَّده);</li> <li style="">to turn to charcoal (ه = s.th.)                                                          ; (مشحر الحَطَب، عمله فحمًا أي حرقه بدون هواء في المشحرة);</li> <li style="">smoke, give off smoke (said of a fire)                                                      ; (مشحر النارَ، حرّكها فأفسد حريقها فصعد منها الدخان);</li></ol>
مشحرة|مَشْحَرَة	<ol style="listStyleType: circle;"><li style="">charcoal kiln, pile (عرمة مخروطية الشكل من الحطب الأخضر تحترق بدون هواء فيتحول الحطب إلى فحم والذي يقوم بهذا العمل مِشْحَرْجِي) ;</li> <li style="">the place where pine cones are gathered (والمشحرة أيضًا مكان، تجمع فيه أكواز الصنوبر) ;</li></ol>
مشحم|مْشَحِّم	<ol style="listStyleType: circle;"><li style="">greasy (having grease on it)</li></ol>
مشحوت|مَشْحُوت	<ol style="listStyleType: circle;"><li style="">poor, needy, destitute ;</li></ol>
مشد|مْشَدّ	<ol style="listStyleType: circle;"><li style="">brace</li> <li style="">clamp</li> <li style="">girdle</li></ol>
مشدود|مَشدُوْد	<ol style="listStyleType: circle;"><li style="">tight, pulled taut                                ;[pronunciation: mašdūd،mašdūde]</li></ol>
مشرح|مْشَرَّح	<ol style="listStyleType: circle;"><li style="">sliced, sliced up                          ;[pronunciation: mºšɑrrɑḥ]</li> <li style="">dissected                          ;[pronunciation: mºšɑrrɑḥ]</li></ol>
مشرش|مْشَرِّش	<ol style="listStyleType: circle;"><li style="">varicosed, covered in varicose veins                          ;[pronunciation: mºšarreš]</li></ol>
مشرطت|مْشَرْطَت	<ol style="listStyleType: circle;"><li style="">tattered, ragged</li></ol>
مشرع|مُشَرِّع	<ol style="listStyleType: circle;"><li style="">legislator                                     ;[pronunciation: mušarreʕ،mušarriʕīn]</li></ol>
مشرف|مُشرِف	<ol style="listStyleType: circle;"><li style="">supervisor, overseer                                         ;[pronunciation: mušref،mušrifīn،mušrife]</li></ol>
مشرك|مُشرِك	<ol style="listStyleType: circle;"><li style="">polytheist, one who associates partners to God                                 ;[pronunciation: mušrek،mušrikīn]</li></ol>
مشروب|مَشرُوْب	<ol style="listStyleType: circle;"><li style="">drink, beverage (often referring to alcoholic drinks)                                 ;[pronunciation: mašrūb،mašrūbāt]</li></ol>
مشروط|مَشرُوْط	<ol style="listStyleType: circle;"><li style="">conditional                                ;[pronunciation: mɑšrūṭ،mɑšrūṭɑ]</li></ol>
مشروع|مَشرُوْع	<ol style="listStyleType: circle;"><li style="">project                                ;[pronunciation: mašrūʕ،mašārīʕ]</li> <li style="">project, enterprise</li> <li style="">bill (e.g. in congress)</li></ol>
مشروع|مَشْرُوْع	<ol style="listStyleType: circle;"><li style="">legitimate</li></ol>
مشط|مُشط	<ol style="listStyleType: circle;"><li style="">comb                                    ;[pronunciation: mušṭ / mušᵒṭ،mºšāṭ]</li> <li style="">rake</li> <li style="">tilapia, St. Peter's fish                                    ;[pronunciation: mušṭ / mušᵒṭ،mºšāṭ]</li> <li style="">magazine (of an automatic weapon), clip (of a gun)                                    ;[pronunciation: mušṭ / mušᵒṭ،mºšāṭ]</li></ol>
مشط|مَشَّط	<ol style="listStyleType: circle;"><li style="">to comb (ه = s.th.)                                  ;[pronunciation: mɑššɑṭ، yºmɑššeṭ]</li></ol>
مشطاح|مِشْطَاح	<ol style="listStyleType: circle;"><li style="">a long, oblong shaped piece of dough (رغيف مستطيل بيضاوي الشكل ويكنّى به عن القدم الكبيرة) ;</li> <li style="">(allusion to or jocular reference to) a large foot ;</li> <li style="">an oblong (rather than round) piece of bread (because of how it was made, see the verb) ;</li> <li style="">with plural مْشَاطِيح : sheep skin that is tanned that people use to roll dough out on (جلدُ المشاة، يدبَغ وتضع المرأة عليه عجينها) ;</li></ol>
مشطح|مَشْطَح	<ol style="listStyleType: circle;"><li style="">to cast (ه = s.th.) onto the ground so that it lies flat (مشطح الشيءَ، القاه على الأرض منبطحًا) ;</li> <li style="">to roll out (ه = a piece of dough) so that it is oblong rather than round (مشطح الرغيف، جعل طولَه أكثر من غَرْضه فاتى مْمَشْطح) ;</li></ol>
مشعال|مِشْعَال	<ol style="listStyleType: circle;"><li style="">torch ;</li></ol>
مشعراني|مِشْعْراني	<ol style="listStyleType: circle;"><li style="">thick of hair, having a lot of hair (كثير الشعر، كثيثه) ;</li></ol>
مشعشع|مْشَعْشِع	<ol style="listStyleType: circle;"><li style="">bright, beaming</li></ol>
مشعل|مَشعَل	<ol style="listStyleType: circle;"><li style="">torch, flare                                ;[pronunciation: mašʕal،mašāʕel]</li></ol>
مشعور|مَشعُوْر	<ol style="listStyleType: circle;"><li style="">stupid, lost the capacity to reason or think because of a head injury ;</li></ol>
