A	 pronounced a as in fat. 
-telela (telezi)	v.i. to slip; to be slippery: ka telelafa munenene, to slide on a slippery place, Fani kwa telela, it is slippery over there. fig. to show good health: Mubili wa hae wa telela, u pita hande; she is in good health, and her body shows all the signs of it! cf. -shelumuka. telele, adj. long, high, tall: Nzila ye telele, a long way, mazazi a mate-lele, many days. 
telisano (li-)	n. consultation; mutual planning (from:-lelisana) 
telo (li-)	n. plan; plot (from: Bela). 
-telumuka (telumukile)	v.i. to slip down, to slide down, to cycle downhill very fast. cf. -shelumuka. 
-tema1 (temile)	v.i. to curdle, to coa-gulate, to clot syn. -kemena. cuas. -temisa (temisize) to cause to ~. 
-tema2 (temile)	v.t. Luyana. to cut syn. -lema. cf. -puma. 
temalo (li-) 	n. habit, custom, famili-arity syn. twaelo. (from: -lemala) 
-temanga (temangile)	v.i. to go on talking (hoping to raise arguments when others deliberately keep silent) 
-tema-tema (tema-temile)	v.i. to have a nervous tic. 
-tembuka (tembukile)	v.i. (1) to look for syn. -bata. (2) to work hard and alone cf. -sebeza. freq. -tembauka (tembaukile) (1) to look for some-thing here and there (2) to persist in working hard. 
-tembula (tembuzi)	v.t. to praise someone; to call a child by special and endearing names, praising him 
-tembwala (tembwalile)	v.i. to sit gaping. caus. -tembwalisa (tembwa- lisize) to cause to ~: Wena, sesi ka tembwalisize cwalo, wa kula nji? why do you sit gaping like this, are you sick? 
tembwe (bo-)	n. rainbow syn. namb-wamutalati. 
-temuna (temuzi)	v.i. to look back, to look round to syn. -heta, -setuka. freq. -temauna (temauzi) to look back again and again (in fear). ref. -ltemuna (itemuzi) as -temuna (see: -itemuna) 
temuho (li-)	n. observation. (from: -lemuha) 
temuso (li-)	n. warning, notice, cau-tion; advice, hint, announcement, proclamation (from:-lemuha) 
temu-temu	adv. (noun taken adverbially) expressing surprise and embarrassment (when asked questions which cannot be answered or when caught in the act) 
-tenda (tendile)	v.t. Luyana. to do, to make. der. mutendewa. syn. -eza. 
-tendeleka (tendelekile) 	v.i. to zigzag on a bicycle der. kanamutendele. 
-tengama (tengami or tengamile)	v.i. to lean on one side (canoe, moon crescent, etc ) rel. -tengamela (tengamezi) to lean to: Kweli i tasize, i tengamezi kwa metro; it is the new moon and it points to the north. caus. -tengamisa (tengami-size) to cause to ~: Mu sike mwa tengamisa mukolo ka ku ina neku li li li–wi, lu ka lwela, do not make the canoe tilt by sitting all on one side otherwise it will capsize. 
-tengateka (tengatekile)	v.t. to take care of. syn. -teka-teka. cf. -baba-lela. 
-tenga-tenga1 (tenga-tengile)	v.i. to rock and roll about (as a canoe shaken by waves). der. matenga-tenga. syn. -tengauka. caus. -tenga- tengisa (tenga-tengisize) to cause to ~. 
-tenga-tenga2 (tenga-tengile)	v.t. see: -teka-teka. 
-tengauka (tengaukile)	v.i. as-tenga-tenga. 
-tengeka (tengekile)	v.t. to tilt; to bend, to bow. syn. -tengama caus. rel. -tengekela (tengekezi) to ~ to-wards: Tengekela kwanu. ni bone kapa ku na ni busunso mwa piza ya hao. tilt your pot so that I can see if there is enough relish in it. 
-tengela (tengezi)	v.i. to sweat, to perspire. syn. -fufulelwa. cf. -shwa-luka, -tukutelwa. caus. -tengelisa (tengelisize) to cause to ~. 
-tengeleza (tengelelize)	v.t. to put round; to encircle, to surround: Mu sike mwa tengeleza liso kaufela, na ni ka inela kai? don't completely encircle the fire-place, where shall I sit if you do? U tengeleze hande piza, i ta suluhela banana; prop up the pot carefully otherwise it will fall onto the children. syn. -tengili- keza. 
-tengenya (tengenyize)	v.t. to ba-lance something on the head der. mutengenyi. 
-tengilikeza (tengilikelize)	v.t. as-tengeleza. 
-tenguka (tengukile)	v.i. to get ac-customed to: Mutu yo u tengukile, ki mw'a inezi; this man has now got the habit of doing so, it is second nature to him. rel. -tengukela (tengukezi) to ~ somewhere: U tengukezi mwa sikenge, she got the habit during her initiation. caus. -tengukisa (tengukisize) or tengula (tenguzi) to familiarize. 
-tengula (tenguzi)	v.t. to mislead. ref. -itengula (itenguzi) to get into the habit of (doing something). 
tente (li- or ma-)	n. Eng. tent; tar-paulin; awning. 
te–i,	adv. there. spec. exp: mukwa wa te–i, the proper way (of doing something). 
-tepa (tepile) to become loose; to hang down: to sag: Muhala u tepile, the rope is loose; Ki mucembele, linama za hae se li tepile; he is an old person, his flesh is no longer 	firm. caus. -tepisa (tepisize) (1) to loosen (2) to show signs of future calving: l‚omu ya ka i se i tepisa, i tuha i zwala; my cow is near calv-ing, as we can see from its udder. 
-tepa-tepa (tepa-tepile)	v.i. to totter, carrying a heavy load. syn. -tota. rel. -tepa-tepela (tepa-tepezi) to ~ somewhere. caus. -tepa- tepisa (tepa-tepisize) to cause to ~. 
tepe (li-)	n. tender, delicate plant prepared as vegetable and used as relish fig. a spineless person. 
-tepelela (tepelezi) 	v.i. Sotho. to become discouraged, tired, daunted, disheartened. cf. -swafa caus. -tepelelisa (tepelelisize) to discourage, to dishearten. ref. -itepeleza (itepelelize) to consider oneself as weaker than others, to develop an inferiority complex. 
-tepeta (tepetile)	v.i. to be loose distended; to be slack (person). der. matepeta. cf. -teputuka, -nema. rel. -tepetela (tepetezi) to walk slackly somewhere. caus. -tepetisa (tepetisize) to cause looseness. 
-tepuka (tepukile)	v.i. to hang down. cf. -lepelela. rel. -tepukela (tepu-kezi) to be hanging down: Mutai u tepukezi fafasi, the branch is hang-ing down caus. -tepukisa (tepuki-size) to cause to ~. 
-teputuka (teputukile)	v.i. to walk very slowly and lethargically; to be like a jelly-fish. cf. -tepeta. 
-tesuka (tesukile)	v.i. to slip; to sprain (wrist, knee-cap. etc.) 
-teta1 (tetile)	v.i. to crack (as a tree being cut down and on the point of falling). 
-teta2 (tetile)	v.i. to squeak, to shrick (from pain) der. muteto. caus. -tetisa (tetisize) to cause to ~. 
-tetela (tetezi)	v.t. to cut bushes in a forest garden. syn. -panda. der. mu-teteli. rel. -tetelela (tetelezi) to ~ for someone caus. -tetelisa (teteli-size) to order or to help to ~. 
-tetenya (tetenyize)	v.i. to feel tired after an excess of food or drink; to have a hang-over. 
-teula (teuzi)	v.t. to surpass (by in-telligence, cleverness, etc ) syn. -fita, -eshula. 
-teya (teile)	v.t. see: -tea. 
-teya-teya (teya-teile)	v.i. see: -tea-tea. 
-tia (tide)	v.i. see: -tiya. 
-tiba1 (tibile)	v.i. (1) to sink, to founder: Mukolo wa ka u tibiae, my canoe sank. (2) to be flooded Msimu a Lana s'a tibiae, our fields are already under water. der. butibo. fig. to keep silent fig. exp: A sa li ku tiba ni magi a Lana, h'a sa bonwa; since he went with our-money, we have not heard from him. syn. -lwela. rel. -tibela (tibezi) to sink in a certain place caus.-tibisa (tibisize) to cause the sinking of; to flood. int. -tibelelela (tibele-lezi) to inundate completely ref. -itibisa (itibisize) to cause one's canoe to capsize 
-tiba2 (tibile)	v.t. (1) to cork (2) to obstruct, to stand in the way, to block the way. der. sitibo, sitibiso, tibelo. rel. -tibela (tibezi) to hinder, to prevent from, to forbid: Ku maswe ku tibela mute litukelo za hae, it is bad to refuse a person his rights. caus. -tibisa (tibisize) to cause to ~. rec. -tibelana (tibelani) to oppose each other freq. -ti-banga to ~ frequently. inv. -tibu- lula (tibuluzi) to uncork, to unstop, to open (bottle, etc.) fig. exp: ka ti-bulula lizebe, to listen very care-fully to ref. a). -itiba (itibile) fig. to stop one's ears. spec. exp: ku itiba lizebe, to pretend not to hear, to refuse to hear. b) -itibela (itibezi) to deprive oneself of something spec. exp: ka itibela mazibuho, to deprive oneself of blessings. 
tibalo (li-)	n. forgetfulness (from: -libala). 
-tibana (tibani or tibanile)	v.i. to become obstructed, blocked up (usually used in the past tense) mushitu o tibani, a dense forest; spec. exp: Ku tibana mala. to be constipated; ka tibana lizebe, to be deaf. caus. -tibanisa (tibanisize) to cause to ~. 
-tibanya (tibanyize) 	v.t. to obstruct, to block up; to stun, to deafen: ka tibanya mute lizebe, to repeat the same thing to someone all the time, to talk twaddle. 
-tibeka1 (tibekile)	v.i. to fall in, to cave in, to collapse: Mukoti u tibe-kile, bats ba shwile; the mine collapsed and people died. 
-tibeka2 (tibekile)	v.t. to lay the foundations of a house; to start the building of a village when or where human victims were sacri- fied (obs) 
-tibela (tibezi)	v.t. to prevent from doing something: Mata, u y'o tibela likomu zani, li ka y 'o kena mwa simu ya mute; run quickly and prevent those cattle from getting into someone's field (see: -tiba2 rel. der. mutibeli, mutibelelo. rel. -tibelela (–ibelezi) to ~ for someone caus. -tibelisa (tibelisize) to order or to help to ~ 
-tibelela (tibelezi)	v.i. to camp, to encamp, to pitch camp der. muti- beleli, matibelelo, mutibelelo. caus. -tibeleza (tibelelize) to receive travellers and provide a camping place for them 
tibelelano (li-)	n. mutual expecta-tion. (from: -libelela). 
tibelelo (li-)	n. expectation (from: -libelela). 
tibelo (li-)	n. hindrance, obstruc-tion, obstacle; opposition; preven- tion. syn. kaniso (from: -tibela). 
-tibuha (tibuhile)	v.i. to become de-teriorated, spoiled; to fall down (plaster). 
-tibula1 (tibuzi)	v.t. to beat and make fall (plaster) fig. to beat someone severely. der. mutibuli, mutibulelo, mutibulo, sitibuliso rel. -tibulela (ti-bulezi) to ~ for someone caus. -ti-bulisa (tibulisize) to order or to help to ~. int. -tibulelela (thibule- lezi) to completely take off (the plaster of a wall, of a hut, etc.) rec. -tibulana (tibulani) fig. to beat each other severely freq. -tibulanga fig. to be inclined to beat (people) ref. -ltibula (itibuzi) as rec. 
tibula2 (li-)	n. hole pierced at the bottom of a calabash in order to let out the whey when making sour milk syn. -tubula. 
-tibuluha (tibuluhile) 	v.i. to become uncorked (bottle, etc ) to become opened (container, etc ) 
tibulula (tibuluzi)	v.t. to uncork, to unstop, to open (bottle, etc ) der. mutibululi, sitibululiso. rel. -tibulu-lela (tibululezi) to ~ for someone caus. -tibululisa (tibululisize) to help to ~. 
tieho (li-)	n. delay, lateness. (from: -lieha). 
tifo (li-)	n. fee, payment, fine. (from: -lifa). 
-tiinya (tiinyize)	v.i. to rub the eye-l-id lightly with the finger- tip cf.-pikita. fig. exp: Ni ta ka tEinya mwa meto ha u sa utwi, I will make you wake up if you persist in not understanding. ref. -ltiinya (itii-nyize) to rub one's eye with the tip of the finger. 
-tiisa (tiisize)	v.t. to affirm, to insist, to certify, to confirm, to approve; to strengthen, to tighten, to conso-lidate; to persevere: Ni tiisa niti, I insist that I am telling the truth; Ha mu ota muhala, mu u tifse, mu sike mwa ota Tanya; when twisting a rope, do it firmly, not loosely; Mu tiise musebezi wa mina ka tata, do your work with perseverance der. mutiisi, tiiso. rec. -tiisana (tii- sani) to help each other to perse-vere. ref. -itiisa (itiisize) to encour-age oneself; to become stronger, to grow more robust. syn. -ikoko-tola, -ikokoteza. idiom. exp: U itii-size he looks well, he has put on weight. 
-tiiseza (tiiselize)	v.i. & v.t. to perse-vere; to insist; to keep holding tightly: confirm: Mu tifseze mwa buitamo bwa mina, do persevere in keeping your promises. der. tii-sezo. syn. -tundamena, -pihelela. int. -tiiseleza (tiiselelize) to endea-vour with patience 
tiisezo,	n. perseverance, persist-ence, tenacity, confirmation (from -tiiseza). 
tikanyezo (li-)	n. measurement (from: -likanyeza). 
tikanyo (li-)	n. size, proportion; dose (med) spec. exp: ka tikanyo, with moderation (from: -likanya). 
-tikinya (tikinyize) 	v.t. Eng. to tickle der. buzikinyani. rel. -tiki-nyeza (tikinyelize) to ~ for some-one caus. -tikinyisa (tikinyisize) to help to ~. 
-tikitiba (tikitibile) 	v.t. Eng. to detect, to inquire, to investigate; to bring to light. der. mutikitibi, bu-tikitibi, mutikitibelo. cf. -sefa. 
tiko (li-)	n. (1) trial, (2) test, (3) temptation. (from: -lika). 
tikwa!	interj. expressing nauseous, loathsome kind of odour: Ku li tikwa! it stinks, it's rotten! 
-tila (tilile)	v.t. to make designs, drawings with a hot poker (pyro- graphy) der. katilotilo rel. -tilela (tilezi) to ~ for someone caus. -tilisa (tilisize) to order or to help to ~. 
tilakita (li- or ma-)	n. Eng. tractor (also sitilakita). 
tilei (li-)	n. Eng. tray: Ba lukanga li-tilei ka mibisi ya makenge, they make trays with makenge roots 
tiloko,	n. murmur, grumbling; dis-satisfaction, preoccupation about the future; forbodding, forewarn-ing, presentiment, apprehension (from: -liloka) 
-tilula (tiluzi)	v.t. to release some-one from a food taboo. rel. -tilulela (tilulezi) to ~ for someone: Mu t'o ni tilulela mwan'a a, u shwa tala; come and release my child from the food taboo you ordered him to observe, for he is starving ref. -iti-lula (itiluzi) to free oneself from the observance of a food taboo to start up, to stand up precipita-tely; to quake; to get frightened when caught in the act. 
-tilumuna (tilumuzi)	v.t. to caution, to warn, to find fault with; to scold rel. -tilumunena (tilumunezi) to warn on behalf of someone 
tima1 (li-)	n. garden, field, ploughed ground syn. simu (from: -lima) 
-tima2 (timile)	v.t. to refuse to give; to give . parsimoniously der. muti-mani, butimani. syn. -–oma,– ota. rel. -timela (timezi) to refuse for a reason: Ni mu timezi buhata bwa hae, I refused to help him because of his lies caus. -timisa (timisize) to cause to ~ int. -timelela (time-lezi) to definitely refuse to give. rec. -timana (timani) (1) to deprive oneself of something: Ku itima lico, to fast. 
-tima3 (timile)	v.i. to go out, to die out (fire), to burn out: Mulilo u timile, the fire died out 
-tima4 (timile)	v.t. to extinguish; to put out (fire, light, etc ) to turn off (gas), to switch off (electric light), to blow out (candle) der. mutimi, sitimiso. syn. -timuna. rel. -timela (timezi) to ~ for someone caus. -timisa (timisize) to help to ~ fig. to destroy completely, to mas-sacre: ku timisa lifolofolo, to cause havoc among game (see: -timeza) int. -timelela (timelezi) to put out all the fires 
timana (li-)	n. a verse (hymn, poem, scripture). 
timba1 (tutimba)	n. see: katimba. n. Eng. timber, log 
-timba3 (timbile)	v.t. Luyana. to hate der. sitimbo. syn. -toya. 
-timboka (timbokile) 	v.t. to leave alone, to abandon someone, to forsake (habit of children in playing) syn. -siloka. 
-timbula (timbuzi)	v.t. to look at with rancour, to look daggers at, to cast an evil look der. litimbu, mutimbulelo. rel. -timbulela (timbu-lezi) to look at someone with ran-cour: S'o ni timbulela cwalo kini? why are you giving me such an evil look? why do you look daggers at me? caus. -timbulisa (timbulisize) to cause to ~ rec. -timbulana (timbu lani) to look wlth rancour at each other ref. -itimbula (itimbuzi) as rec. 
timbuu (li-)	n. Luyana. kind of small reed. cf. Iimbinda. 
timbwe (bo-)	n. see: ntimbwe. 
-timela (timezi)	v.i. to die, to perish der. timelo. syn. -shwa,- sinyeha, -lateha, -tokwahala, -tunumana, -tu-tubala, -fa. fig. to disappear, to vanish, to leave no trace: Usike wa hupula kuli s'o ezize sika timela kwa I batu, do not think that what you did won't be known rel. -timelela (timelezi) to die in a certain place: U il'o timelela kwa Livingi, he died in Livingstone caus. -timeza (time-lize) to cause the death of, to cause to perish (see: -timeza). 
-timelelwa (timelezwi)	v.t. to forget: Ne ni se ni ku timelezwi, I had al-ready forgotten you. syn. -libala. 
